time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0,-2.54234e-13,-0.229937,-2.10512e-13,0.470563,1.99093e-12,3.46694e-11,-1.30866e-12
0,-2.54103e-13,-0.231073,-2.10389e-13,0.469225,1.99165e-12,3.47445e-11,-1.29112e-12
0,-2.53967e-13,-0.232199,-2.1026e-13,0.467884,1.99233e-12,3.48195e-11,-1.27363e-12
0,-2.53826e-13,-0.233317,-2.10128e-13,0.466539,1.99297e-12,3.48946e-11,-1.25621e-12
0,-2.53679e-13,-0.234424,-2.0999e-13,0.465192,1.99358e-12,3.49696e-11,-1.23886e-12
0,-2.53527e-13,-0.235523,-2.09849e-13,0.463841,1.99415e-12,3.50446e-11,-1.22156e-12
0,-2.53369e-13,-0.236612,-2.09703e-13,0.462487,1.99469e-12,3.51196e-11,-1.20433e-12
0,-2.53206e-13,-0.237692,-2.09552e-13,0.46113,1.99519e-12,3.51946e-11,-1.18717e-12
0,-2.53038e-13,-0.238762,-2.09398e-13,0.45977,1.99565e-12,3.52696e-11,-1.16564e-12
0,-2.52865e-13,-0.239823,-2.09239e-13,0.458408,1.99609e-12,3.53446e-11,-1.14417e-12
0,-2.52687e-13,-0.240874,-2.09076e-13,0.457043,1.99648e-12,3.54196e-11,-1.12277e-12
0,-2.52504e-13,-0.241916,-2.08909e-13,0.455676,1.99685e-12,3.54947e-11,-1.10144e-12
0,-2.52316e-13,-0.242948,-2.08738e-13,0.454306,1.99717e-12,3.55697e-11,-1.08018e-12
0,-2.52123e-13,-0.24397,-2.08562e-13,0.452933,1.99747e-12,3.56447e-11,-1.05899e-12
0,-2.51926e-13,-0.244983,-2.08383e-13,0.451559,1.99773e-12,3.57197e-11,-1.03788e-12
0,-2.51723e-13,-0.245985,-2.082e-13,0.450182,1.99796e-12,3.57859e-11,-1.01684e-12
0,-2.51516e-13,-0.246978,-2.08013e-13,0.448803,1.99816e-12,3.58521e-11,-9.95868e-13
0,-2.51304e-13,-0.247962,-2.07823e-13,0.447422,1.99833e-12,3.59183e-11,-9.74973e-13
0,-2.51088e-13,-0.248935,-2.07628e-13,0.44604,1.99846e-12,3.59845e-11,-9.54157e-13
0,-2.50867e-13,-0.249898,-2.0743e-13,0.444655,1.99857e-12,3.60508e-11,-9.33414e-13
0,-2.50642e-13,-0.250852,-2.07228e-13,0.443269,1.99864e-12,3.61171e-11,-9.12746e-13
0,-2.50412e-13,-0.251796,-2.07022e-13,0.441881,1.99868e-12,3.61834e-11,-8.92163e-13
0,-2.50178e-13,-0.252729,-2.06813e-13,0.440492,1.99869e-12,3.62497e-11,-8.71652e-13
0,-2.49939e-13,-0.253653,-2.06601e-13,0.439101,1.99868e-12,3.63161e-11,-8.51223e-13
0,-2.49696e-13,-0.254567,-2.06384e-13,0.437709,1.99863e-12,3.63825e-11,-8.30875e-13
0,-2.49449e-13,-0.25547,-2.06165e-13,0.436315,1.99855e-12,3.64489e-11,-8.10606e-13
0,-2.49198e-13,-0.256364,-2.05942e-13,0.43492,1.99845e-12,3.65154e-11,-7.90419e-13
0,-2.48943e-13,-0.257247,-2.05716e-13,0.433524,1.99832e-12,3.6582e-11,-7.70315e-13
0,-2.48684e-13,-0.258121,-2.05486e-13,0.432127,1.99816e-12,3.66485e-11,-7.50296e-13
0,-2.48421e-13,-0.258984,-2.05253e-13,0.430729,1.99797e-12,3.67152e-11,-7.30357e-13
0,-2.48154e-13,-0.259837,-2.05018e-13,0.429331,1.99775e-12,3.67818e-11,-7.10504e-13
0,-2.47883e-13,-0.260679,-2.04778e-13,0.427931,1.99751e-12,3.68486e-11,-6.90732e-13
0,-2.47608e-13,-0.261512,-2.04536e-13,0.42653,1.99724e-12,3.69153e-11,-6.7105e-13
0,-2.4733e-13,-0.262334,-2.04291e-13,0.425129,1.99694e-12,3.69822e-11,-6.51452e-13
0,-2.47048e-13,-0.263146,-2.04043e-13,0.423728,1.99662e-12,3.70491e-11,-6.31944e-13
0,-2.46762e-13,-0.263948,-2.03791e-13,0.422325,1.99627e-12,3.7116e-11,-6.12521e-13
0,-2.46473e-13,-0.264739,-2.03537e-13,0.420923,1.9959e-12,3.7183e-11,-5.93184e-13
0,-2.4618e-13,-0.26552,-2.0328e-13,0.419519,1.9955e-12,3.72501e-11,-5.73939e-13
0,-2.45883e-13,-0.266291,-2.0302e-13,0.418116,1.99508e-12,3.73172e-11,-5.54781e-13
0,-2.45583e-13,-0.267051,-2.02758e-13,0.416712,1.99463e-12,3.73844e-11,-5.35713e-13
0,-2.4528e-13,-0.267801,-2.02492e-13,0.415309,1.99416e-12,3.74517e-11,-5.16737e-13
0,-2.44974e-13,-0.268541,-2.02224e-13,0.413905,1.99366e-12,3.7519e-11,-4.9785e-13
0,-2.44664e-13,-0.26927,-2.01954e-13,0.412501,1.99314e-12,3.75864e-11,-4.79054e-13
0,-2.44351e-13,-0.269989,-2.0168e-13,0.411097,1.9926e-12,3.7645e-11,-4.60353e-13
0,-2.44035e-13,-0.270697,-2.01405e-13,0.409693,1.99203e-12,3.77037e-11,-4.373e-13
0,-2.43715e-13,-0.271395,-2.01126e-13,0.408289,1.99144e-12,3.77624e-11,-4.14341e-13
0,-2.43393e-13,-0.272083,-2.00846e-13,0.406886,1.99083e-12,3.78212e-11,-3.91477e-13
0,-2.43068e-13,-0.27276,-2.00562e-13,0.405483,1.9902e-12,3.78801e-11,-3.68705e-13
0,-2.42739e-13,-0.273426,-2.00277e-13,0.40408,1.98955e-12,3.79391e-11,-3.46028e-13
0,-2.42408e-13,-0.274082,-1.99989e-13,0.402678,1.98887e-12,3.79982e-11,-3.23445e-13
