time,x_mpc,y_mpc,z_mpc,vx_mpc,vy_mpc,vz_mpc
8.000015956284153518e+00,4.945190366168073504e-01,1.373552482616086368e-01,2.508157632438600126e-01,9.552809615681237543e-03,7.214130710448485653e-04,1.122439066423900917e-03
8.100016155737705503e+00,4.955354814971021926e-01,1.374334255184033737e-01,2.509320789970332921e-01,1.077604744358847885e-02,8.421289463098181969e-04,1.203871357132453405e-03
8.200016355191257489e+00,4.966793372409971652e-01,1.375228506135429962e-01,2.510531351174647430e-01,1.210102180518291687e-02,9.463693892593491109e-04,1.217246222491774523e-03
8.300016554644809474e+00,4.979658867113528342e-01,1.376220967064401279e-01,2.511721361663927787e-01,1.362991628066064984e-02,1.038548509693791328e-03,1.162770009041640736e-03
8.400016754098361460e+00,4.994171623921659919e-01,1.377301999455997628e-01,2.512839028654419993e-01,1.539553944330093738e-02,1.123511961192720900e-03,1.072559513499342278e-03
8.500016953551913446e+00,5.010510904751738215e-01,1.378461463704968026e-01,2.513857170292367882e-01,1.728295703843402142e-02,1.195411911572342957e-03,9.637197009647869000e-04
8.600017153005465431e+00,5.028795405053536616e-01,1.379682034786871569e-01,2.514768586197295708e-01,1.928597062713785504e-02,1.245725383299502208e-03,8.591084731957971364e-04
8.700017352459017417e+00,5.049114921236962372e-01,1.380952519080706764e-01,2.515585388856708682e-01,2.135298068388280165e-02,1.295238136328828206e-03,7.744935873526453745e-04
8.800017551912569402e+00,5.071515797978856099e-01,1.382293399143542378e-01,2.516331563737373989e-01,2.344868344139425589e-02,1.386516640487113613e-03,7.178531974398239977e-04
8.900017751366121388e+00,5.096013757430563063e-01,1.383760537645318811e-01,2.517029560193334015e-01,2.554713773811320698e-02,1.547754510558115243e-03,6.781369301285297257e-04
9.000017950819671597e+00,5.122629701251735224e-01,1.385419790493320480e-01,2.517699761456153040e-01,2.768464373155057889e-02,1.770744566580874108e-03,6.622629220347268312e-04
9.100018150273223583e+00,5.151417688986056342e-01,1.387324669580572434e-01,2.518366332755468395e-01,2.989121689999203746e-02,2.039006009240044819e-03,6.708770176014800142e-04
9.200018349726775568e+00,5.182538316520886035e-01,1.389478948285764182e-01,2.519068469129438492e-01,3.234991402752102063e-02,2.269542807589454772e-03,7.333929294718301512e-04
9.300018549180327554e+00,5.216273199199572552e-01,1.391869636557456491e-01,2.519854078340998949e-01,3.511971675927706704e-02,2.511824199188907297e-03,8.378223598047059972e-04
9.400018748633879540e+00,5.252979213365922551e-01,1.394423957849224571e-01,2.520767388170423451e-01,3.829216515081618200e-02,2.596808194998487772e-03,9.887936557939880876e-04
9.500018948087431525e+00,5.292996202319032450e-01,1.396988015180232190e-01,2.521840481805163736e-01,4.174165312510921821e-02,2.531296238830096912e-03,1.157389333048840447e-03
9.600019147540983511e+00,5.336514291814109523e-01,1.399426873786089043e-01,2.523081347319275913e-01,4.529435226864141073e-02,2.346411244122736852e-03,1.324336745284164854e-03
9.700019346994535496e+00,5.383637507308935977e-01,1.401644240873844982e-01,2.524488373465473279e-01,4.895189074353277492e-02,2.088314086172151415e-03,1.489709934395152266e-03
9.800019546448087482e+00,5.434539663323001424e-01,1.403571391590109907e-01,2.526063981343522058e-01,5.285221823268762553e-02,1.765979658832361049e-03,1.661499536503304765e-03
9.900019745901639467e+00,5.489057127978090866e-01,1.405139156400260214e-01,2.527793423846402265e-01,5.618249360388653108e-02,1.369543707555543645e-03,1.797378570402348918e-03
1.000001994535519145e+01,5.546705557407010101e-01,1.406282745330720008e-01,2.529644600039324120e-01,5.911413529073203388e-02,9.176295915154127070e-04,1.904966430982243074e-03
1.010002014480874344e+01,5.607009277123511382e-01,1.406959081495605945e-01,2.531585440327502323e-01,6.149306358692952640e-02,4.350400403089191076e-04,1.976706403240075394e-03
1.020002034426229542e+01,5.669344389387988015e-01,1.407153382081285931e-01,2.533578376424380219e-01,6.317691228332909803e-02,-4.643964402609569806e-05,2.009157840567731002e-03
1.030002054371584741e+01,5.732983985292300355e-01,1.406875231814870009e-01,2.535584790049443260e-01,6.410202566293195237e-02,-5.098597792467426384e-04,2.003661405847361257e-03
1.040002074316939940e+01,5.797212498069983511e-01,1.406140556736846237e-01,2.537569583652034555e-01,6.435474368084669050e-02,-9.594874461359220123e-04,1.965917881869232338e-03
1.050002094262295138e+01,5.860868729560796409e-01,1.405062727789725130e-01,2.539492444474980570e-01,6.295746537205537674e-02,-1.196166148578368385e-03,1.879796093610196185e-03
1.060002114207650337e+01,5.922722863989166031e-01,1.403818801416033546e-01,2.541317477086783572e-01,6.075055674464056171e-02,-1.291681636704299562e-03,1.770261849825615665e-03
1.070002134153005535e+01,5.982027755847915129e-01,1.402566638772316521e-01,2.543023445400326432e-01,5.785899040190334991e-02,-1.212638655773830244e-03,1.641667972045020730e-03
1.080002154098360734e+01,6.038075287221168486e-01,1.401518354958241619e-01,2.544595797989183672e-01,5.423584876746458117e-02,-8.839247907052328592e-04,1.503030933455457279e-03
1.090002174043715932e+01,6.090169544717171091e-01,1.400920443225760481e-01,2.546036197484704555e-01,4.995245841726324992e-02,-3.118962891494184760e-04,1.377762311742272662e-03
1.100002193989071131e+01,6.137811792038987413e-01,1.400976930151272559e-01,2.547361277543532254e-01,4.533184617843949438e-02,4.248699148435684412e-04,1.272392520085272602e-03
1.110002213934426329e+01,6.180733373957563170e-01,1.401842956072993085e-01,2.548592382158713088e-01,4.051114644181458974e-02,1.307178473965162459e-03,1.189811799322150389e-03
1.120002233879781528e+01,6.218926654428332812e-01,1.403518825990867080e-01,2.549750102043081279e-01,3.587526214431892291e-02,2.044554676631958872e-03,1.125623351196504678e-03
1.130002253825136727e+01,6.252572800787213891e-01,1.405855890760260019e-01,2.550846163915724829e-01,3.141689635684184051e-02,2.629565539455144124e-03,1.066496021831136619e-03
1.140002273770491925e+01,6.281879881903965623e-01,1.408658427719564621e-01,2.551879543198545819e-01,2.719714896886759464e-02,2.975497199657438710e-03,1.000258421595763472e-03
1.150002293715847124e+01,6.307099348822403639e-01,1.411668195826844274e-01,2.552839043869876701e-01,2.324168426596277467e-02,3.044027008746901138e-03,9.187390935579166362e-04
1.160002313661202145e+01,6.328499425161722147e-01,1.414612560905975647e-01,2.553707524225733994e-01,1.955838304642040781e-02,2.844691404257935607e-03,8.182181537336742335e-04
1.170002333606557343e+01,6.346354770494301301e-01,1.417240228980486405e-01,2.554465710704056924e-01,1.615223639263777683e-02,2.410634262829686441e-03,6.981517784587923728e-04
1.180002353551912542e+01,6.360951215663951386e-01,1.419326666931473580e-01,2.555095030120415611e-01,1.304059572052194971e-02,1.762233316212312179e-03,5.604845438645520090e-04
1.190002373497267740e+01,6.372602243410043776e-01,1.420646319654702561e-01,2.555580216283268591e-01,1.026141329497793492e-02,8.770668660674280819e-04,4.098858464029452053e-04
1.200002393442622939e+01,6.381669487857583034e-01,1.420922657951529666e-01,2.555912004479306554e-01,7.873039430290145607e-03,-3.243913747437067062e-04,2.536892221498342030e-04
1.210002413387978137e+01,6.388560166748007418e-01,1.419792516456069020e-01,2.556088633956383194e-01,5.908290863204421206e-03,-1.935887107971707814e-03,9.956902741734983877e-05
1.220002433333333336e+01,6.393699466844331436e-01,1.416809219280148191e-01,2.556114899476438773e-01,4.370288828451755064e-03,-4.030695343309297594e-03,-4.703809208155831315e-05
1.230002453278688535e+01,6.397470370100768466e-01,1.411510928064735604e-01,2.555997785620340301e-01,3.171502642053227079e-03,-6.565865952298178404e-03,-1.871891529409044474e-04
1.240002473224043733e+01,6.400356831772082700e-01,1.403279315261886373e-01,2.555752204581095977e-01,2.601409186299094047e-03,-9.897326816977820158e-03,-3.039719459099773468e-04
1.250002493169398932e+01,6.402749984258777616e-01,1.391579152403591424e-01,2.555389450085809866e-01,2.184886240655647353e-03,-1.350295222692410313e-02,-4.215355976111039493e-04
1.260002513114754130e+01,6.404914775306395081e-01,1.376034077802715527e-01,2.554919073535671936e-01,2.144687219090020587e-03,-1.758713496454457348e-02,-5.192156263039525562e-04
1.270002533060109329e+01,6.407121631691796715e-01,1.356254453906095836e-01,2.554353638379785463e-01,2.269016748423809040e-03,-2.197203392652723186e-02,-6.116524299131598317e-04
