time,x_desired,y_desired,z_desired
1.333099436033552081e+02,5.254034406430660997e-01,-2.656261848172873771e-04,7.418027706581619141e-01
1.333199435991247128e+02,5.253940917512111008e-01,-2.690877130237928345e-04,7.417715958942413534e-01
1.333299435948942175e+02,5.253847788362420168e-01,-2.724592817362674686e-04,7.417405365391425143e-01
1.333399435906637507e+02,5.253755020043615609e-01,-2.757410466520583843e-04,7.417095929950952016e-01
1.333499435864332554e+02,5.253662613608229837e-01,-2.789331659208437223e-04,7.416787656616965485e-01
1.333599435822027601e+02,5.253570570099285186e-01,-2.820358001446545597e-04,7.416480549359059093e-01
1.333699435779722648e+02,5.253478890550278280e-01,-2.850491123778739347e-04,7.416174612120398635e-01
1.333799435737417696e+02,5.253387575985161151e-01,-2.879732681272120180e-04,7.415869848817669974e-01
1.333899435695113027e+02,5.253296627418327924e-01,-2.908084353516582994e-04,7.415566263341030195e-01
1.333999435652808074e+02,5.253206045854595940e-01,-2.935547844624103561e-04,7.415263859554058756e-01
1.334099435610503122e+02,5.253115832289191323e-01,-2.962124883227795270e-04,7.414962641293708634e-01
1.334199435568198169e+02,5.253025987707732325e-01,-2.987817222480730595e-04,7.414662612370254147e-01
1.334299435525893500e+02,5.252936513086214898e-01,-3.012626640054534891e-04,7.414363776567246545e-01
1.334399435483588547e+02,5.252847409390994926e-01,-3.036554938137745992e-04,7.414066137641464049e-01
1.334499435441283595e+02,5.252758677578773794e-01,-3.059603943433945590e-04,7.413769699322863005e-01
1.334599435398978642e+02,5.252670318596585064e-01,-3.081775507159656966e-04,7.413474465314531248e-01
1.334699435356673973e+02,5.252582333381774493e-01,-3.103071505042016669e-04,7.413180439292642587e-01
1.334799435314369020e+02,5.252494722861987819e-01,-3.123493837316213082e-04,7.412887624906407957e-01
1.334899435272064068e+02,5.252407487955157439e-01,-3.143044428722698404e-04,7.412596025778028785e-01
1.334999435229759115e+02,5.252320629569483534e-01,-3.161725228504170767e-04,7.412305645502653695e-01
1.335099435187454162e+02,5.252234148603421859e-01,-3.179538210402328138e-04,7.412016487648329655e-01
1.335199435145149494e+02,5.252148045945668198e-01,-3.196485372654393991e-04,7.411728555755958681e-01
1.335299435102844541e+02,5.252062322475145040e-01,-3.212568737989416386e-04,7.411441853339251207e-01
1.335399435060539588e+02,5.251976979060984929e-01,-3.227790353624340443e-04,7.411156383884683896e-01
1.335499435018234635e+02,5.251892016562518251e-01,-3.242152291259851513e-04,7.410872150851453011e-01
1.335599434975929967e+02,5.251807435829257686e-01,-3.255656647075995543e-04,7.410589157671431115e-01
1.335699434933625014e+02,5.251723237700884894e-01,-3.268305541727570675e-04,7.410307407749123776e-01
1.335799434891320061e+02,5.251639423007237184e-01,-3.280101120339296581e-04,7.410026904461626263e-01
1.335899434849015108e+02,5.251555992568290865e-01,-3.291045552500756121e-04,7.409747651158580251e-01
1.335999434806710440e+02,5.251472947194152363e-01,-3.301141032261113652e-04,7.409469651162132742e-01
1.336099434764405487e+02,5.251390287685039349e-01,-3.310389778123610529e-04,7.409192907766890546e-01
1.336199434722100534e+02,5.251308014831270743e-01,-3.318794033039834017e-04,7.408917424239883642e-01
1.336299434679795581e+02,5.251226129413253396e-01,-3.326356064403766105e-04,7.408643203820518552e-01
1.336399434637490629e+02,5.251144632201466544e-01,-3.333078164045607346e-04,7.408370249720539480e-01
1.336499434595185960e+02,5.251063523956451817e-01,-3.338962648225380064e-04,7.408098565123987234e-01
1.336599434552881007e+02,5.250982805428797695e-01,-3.344011857626308219e-04,7.407828153187160369e-01
1.336699434510576054e+02,5.250902477359127296e-01,-3.348228157347977714e-04,7.407559017038573002e-01
1.336799434468271102e+02,5.250822540478086164e-01,-3.351613936899273363e-04,7.407291159778914835e-01
1.336899434425966433e+02,5.250742995506331168e-01,-3.354171610191097387e-04,7.407024584481012308e-01
1.336999434383661480e+02,5.250663843154513843e-01,-3.355903615528866191e-04,7.406759294189790843e-01
1.337099434341356528e+02,5.250585084123272628e-01,-3.356812415604788682e-04,7.406495291922234880e-01
1.337199434299051575e+02,5.250506719103218423e-01,-3.356900497489925567e-04,7.406232580667350129e-01
1.337299434256746906e+02,5.250428748774922383e-01,-3.356170372626028566e-04,7.405971163386123601e-01
1.337399434214441953e+02,5.250351173808903704e-01,-3.354624576817162238e-04,7.405711043011489192e-01
1.337499434172137001e+02,5.250273994865618521e-01,-3.352265670221108427e-04,7.405452222448287714e-01
1.337599434129832048e+02,5.250197212595448804e-01,-3.349096237340552242e-04,7.405194704573230258e-01
1.337699434087527095e+02,5.250120827638689036e-01,-3.345118887014050650e-04,7.404938492234863778e-01
1.337799434045222426e+02,5.250044840625536224e-01,-3.340336252406788027e-04,7.404683588253531124e-01
1.337899434002917474e+02,5.249969252176076573e-01,-3.334750991001109990e-04,7.404429995421338839e-01
1.337999433960612521e+02,5.249894062900277714e-01,-3.328365784586847977e-04,7.404177716502118312e-01
1.338099433918307568e+02,5.249819273397974273e-01,-3.321183339251423733e-04,7.403926754231392460e-01
1.338199433876002900e+02,5.249744884258858990e-01,-3.313206385369740748e-04,7.403677111316341319e-01
1.338299433833697947e+02,5.249670896062469394e-01,-3.304437677593863201e-04,7.403428790435764295e-01
1.338399433791392994e+02,5.249597309378178922e-01,-3.294879994842479136e-04,7.403181794240050184e-01
1.338499433749088041e+02,5.249524124765185817e-01,-3.284536140290151142e-04,7.402936125351140539e-01
1.338599433706783373e+02,5.249451342772503137e-01,-3.273408941356352898e-04,7.402691786362495252e-01
1.338699433664478420e+02,5.249378963938947651e-01,-3.261501249694297015e-04,7.402448779839063686e-01
1.338799433622173467e+02,5.249306988793129847e-01,-3.248815941179546574e-04,7.402207108317245821e-01
1.338899433579868514e+02,5.249235417853442831e-01,-3.235355915898419045e-04,7.401966774304865604e-01
1.338999433537563846e+02,5.249164251628053446e-01,-3.221124098136175524e-04,7.401727780281134317e-01
1.339099433495258893e+02,5.249093490614893387e-01,-3.206123436365003443e-04,7.401490128696620596e-01
1.339199433452953940e+02,5.249023135301645882e-01,-3.190356903231786768e-04,7.401253821973218239e-01
1.339299433410648987e+02,5.248953186165739027e-01,-3.173827495545667485e-04,7.401018862504117335e-01
