time,ax,ay,az
2.220004427868852659e+01,-6.349566715145022258e-03,9.284242377733651491e-03,1.219995005431569234e-03
2.230004447814207680e+01,-5.290446548991545664e-03,1.406200651360901225e-03,9.354408942475108410e-04
2.240004467759563056e+01,-4.447560409388606056e-03,-5.034226544323183034e-03,6.282888839332405806e-04
2.250004487704918077e+01,-2.135071609857743836e-03,-1.819448359893451050e-02,-2.841298348239618750e-05
2.260004507650273453e+01,-1.110480918983030359e-03,-2.430108682964023450e-02,-3.970909359777342906e-04
2.270004527595628474e+01,-3.278464034733793455e-04,-2.924017149824802153e-02,-7.360819942164847224e-04
2.280004547540983850e+01,8.805950593936226912e-04,-3.491828275181617369e-02,-1.005354977870228988e-03
2.290004567486338871e+01,1.700791098576077314e-03,-3.904006362075743836e-02,-1.196849192026223528e-03
2.300004587431694247e+01,2.939044157180409345e-03,-4.181700339609592532e-02,-9.686783294079539825e-04
2.310004607377049268e+01,3.526152270119860353e-03,-4.386872842459774158e-02,-8.320120655649233116e-04
2.320004627322404289e+01,4.188001082441785393e-03,-4.267843944924908789e-02,-2.281844650336803284e-04
2.330004647267759665e+01,4.545959195953934960e-03,-4.146923074745884064e-02,2.976852212375922179e-04
2.340004667213114686e+01,4.745723378895280037e-03,-3.934109501812176751e-02,8.485882544075476009e-04
2.350004687158470063e+01,4.798739901576532831e-03,-3.651317487664354489e-02,1.330201690807623384e-03
2.360004707103825083e+01,4.729403225009163290e-03,-3.339436604056705837e-02,1.669034612472971441e-03
2.370004727049180460e+01,4.570583778708873016e-03,-3.029675031717036365e-02,1.806836492565011814e-03
2.380004746994535481e+01,4.302709144029167980e-03,-2.711220239672335053e-02,1.648918153591939165e-03
2.390004766939890857e+01,3.966278530167999944e-03,-2.422453920405778088e-02,1.193869573482404974e-03
2.400004786885245878e+01,3.577684523333666579e-03,-2.172922991369657941e-02,4.560151618022633638e-04
2.410004806830601254e+01,3.153499480453667448e-03,-1.966599063880809448e-02,-5.130559472650009223e-04
2.420004826775956275e+01,2.699270658185697926e-03,-1.795470851857373928e-02,-1.653335830251490305e-03
2.430004846721311651e+01,2.266697317984784146e-03,-1.671185550297733455e-02,-2.785904819147204132e-03
2.440004866666666672e+01,1.841084802512553799e-03,-1.565425906517041443e-02,-3.844458072425135150e-03
2.450004886612022048e+01,1.440822758657535037e-03,-1.520020613997753907e-02,-4.819187831371892286e-03
2.460004906557377069e+01,1.129308344431190474e-03,-1.364027565744483847e-02,-5.177931355979029440e-03
2.470004926502732445e+01,8.867438479588053354e-04,-1.266594462005148601e-02,-5.301400716924717024e-03
2.480004946448087466e+01,7.563045454465025953e-04,-1.153118481868972700e-02,-4.956408446416290907e-03
2.490004966393442842e+01,7.637029233648390172e-04,-1.020085955481749018e-02,-4.128109005325013466e-03
2.500004986338797863e+01,9.456725801519962624e-04,-8.644710584840158835e-03,-2.816609197366517527e-03
2.510005006284153239e+01,1.291918321669850234e-03,-6.981443803272744698e-03,-1.165566666456192791e-03
2.520005026229508260e+01,1.783302103405965495e-03,-5.289374889299401812e-03,6.987604980962643054e-04
2.530005046174863637e+01,2.174816715202055120e-03,-3.864109920860235407e-03,2.480583638163122787e-03
2.540005066120218657e+01,3.595858933932119094e-03,-1.705750089116169106e-03,4.940688178480365407e-03
2.550005086065574034e+01,4.220264518863935804e-03,-4.703115436806792568e-04,6.774398352998238330e-03
2.560005106010929055e+01,5.597214773202843427e-03,8.483655254499586221e-04,8.427460922837595736e-03
2.570005125956284076e+01,7.159323364025845481e-03,1.741098948268592073e-03,9.365463738625021475e-03
2.580005145901639452e+01,8.618556705575475957e-03,2.167292369964815644e-03,9.689887885806127560e-03
2.590005165846994473e+01,1.017686514705652689e-02,1.944262301270509611e-03,8.463615359022831283e-03
2.600005185792349849e+01,1.133168689273027566e-02,1.555883930318473825e-03,7.338796644002047731e-03
2.610005205737704870e+01,1.233883118193026054e-02,8.653397826306745855e-04,5.475554220855175826e-03
2.620005225683060246e+01,1.312949095063862398e-02,-3.870799662237264880e-05,2.945722852965748824e-03
2.630005245628415267e+01,1.361704877245997238e-02,-1.054529646780663979e-03,-1.791157440700693205e-04
2.640005265573770643e+01,1.382380124417542308e-02,-2.050034207971518103e-03,-3.570804277568134615e-03
2.650005285519125664e+01,1.362054649662700935e-02,-2.928804344330653096e-03,-7.212017767479963516e-03
2.660005305464481040e+01,1.373849156891228905e-02,-3.719192556195661213e-03,-1.053898248338228615e-02
2.670005325409836061e+01,1.256951881078049137e-02,-4.111874855231871170e-03,-1.428142819830288505e-02
2.680005345355191437e+01,1.097433281333643797e-02,-4.092368600824455166e-03,-1.741403786941688250e-02
2.690005365300546458e+01,8.996540118978263792e-03,-3.635389061469493279e-03,-1.969012069435849277e-02
2.700005385245901834e+01,5.717831263542804375e-03,-2.322755361156733124e-03,-1.959054428259422720e-02
2.710005405191256855e+01,3.461308640589391174e-03,-1.201869778864766026e-03,-1.959529824327338812e-02
2.720005425136612232e+01,9.621598403706605124e-04,2.142622728862670798e-04,-1.832501222100975380e-02
2.730005445081967252e+01,-1.700318809789271371e-03,1.830155702701193217e-03,-1.570027889139013685e-02
2.740005465027322629e+01,-4.441265859219063750e-03,3.530895734810411343e-03,-1.169550179885993531e-02
2.750005484972677650e+01,-7.172600625000198626e-03,5.189077971094383131e-03,-6.342705316209007460e-03
2.760005504918033026e+01,-9.807175352350695069e-03,6.673147504545696822e-03,2.688952969504172785e-04
2.770005524863388047e+01,-1.228892005699881718e-02,7.840882808101754323e-03,8.164250913383016423e-03
2.780005544808743423e+01,-1.447344926743767378e-02,8.602120007220610820e-03,1.674827984768716832e-02
