time,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6,tau_j7
5.429997702844638674e+00,1.731805800733278722e-01,1.640047324841938803e+01,-6.614763049662121475e+00,7.094824836207044294e-01,6.763462689021923491e-02,5.392658314678374643e-01,1.223439927964960899e-01
5.439997698614149613e+00,2.195728709890647501e-01,1.562586393387238815e+01,-6.553772668069657747e+00,4.366813180035026276e-01,6.768997747883015448e-02,4.851362713103021806e-01,1.171718745964963476e-01
5.449997694383661440e+00,2.679478280740349994e-01,1.490651304047407955e+01,-6.500814075197860475e+00,1.872535296802273486e-01,6.722910500514805987e-02,4.339158652134142424e-01,1.127530738422892337e-01
5.459997690153172378e+00,3.190677120596710492e-01,1.424543706268011789e+01,-6.462217432270355388e+00,-4.221316950499831577e-02,6.631951335481163501e-02,3.854426151493614006e-01,1.089923335329021914e-01
5.469997685922683317e+00,3.737556910846191460e-01,1.364451712814912199e+01,-6.444857178629619376e+00,-2.554783941729307228e-01,6.497671197937007759e-02,3.394641861429504859e-01,1.058120374707574030e-01
5.479997681692195144e+00,4.328958127236003373e-01,1.310406593249279261e+01,-6.456379084049674866e+00,-4.566658402861353272e-01,6.315875630992848211e-02,2.956223084204485652e-01,1.031530357127737468e-01
5.489997677461706083e+00,4.974240798822279763e-01,1.262212293946137009e+01,-6.505506459932999697e+00,-6.502915119782161080e-01,6.075558414074865715e-02,2.534247091219186121e-01,1.009726358492655518e-01
5.499997673231217910e+00,5.683052148443368257e-01,1.219328269945571108e+01,-6.602455313088213984e+00,-8.413170675042266344e-01,5.756984435905517644e-02,2.121930366838790938e-01,9.924135487359524166e-02
5.509997669000728848e+00,6.464879705298067769e-01,1.180669404587846927e+01,-6.759482601994368345e+00,-1.035245758654493642e+00,5.328356904094865704e-02,1.709666313653781522e-01,9.793939371150456319e-02
5.519997664770239787e+00,7.328298275063430678e-01,1.144256250008382381e+01,-6.991569121392103625e+00,-1.238281861648636628e+00,4.740138524907808182e-02,1.283271391293108743e-01,9.705325100876756317e-02
5.529997660539751614e+00,8.279797959337138469e-01,1.106590482163146127e+01,-7.317158450571434436e+00,-1.457571821391381306e+00,3.915565031642019578e-02,8.208581597559869159e-02,9.657235300480937479e-02
5.539997656309262553e+00,9.322064341841033164e-01,1.061519170487697394e+01,-7.758623824965090066e+00,-1.701514613460562764e+00,2.735262756595693498e-02,2.874798789678428834e-02,9.648448643676929559e-02
5.549997652078774379e+00,1.045159279122873652e+00,9.981522780413836671e+00,-8.341424825518521047e+00,-1.980003668008468276e+00,1.013682933919505397e-02,-3.733413426816509229e-02,9.676577743536915466e-02
5.559997647848285318e+00,1.165561488906025067e+00,8.971111282807466836e+00,-9.089059957247597410e+00,-2.304065486632955295e+00,-1.532571208929745313e-02,-1.250861822494666875e-01,9.735310735744193145e-02
5.569997643617797145e+00,1.290859622887585489e+00,7.242916342876541513e+00,-1.000659507087543076e+01,-2.683269056059210733e+00,-5.312308556558716088e-02,-2.475400035473957483e-01,9.807062715222755744e-02
5.579997639387308084e+00,1.416908879698067336e+00,4.229265103415599469e+00,-1.103752871592806706e+01,-3.116711320995655843e+00,-1.082865794084901245e-01,-4.201538985513814661e-01,9.846288593553650936e-02
5.589997635156819022e+00,1.537997146178320174e+00,-8.526870689062615583e-01,-1.188272099044167263e+01,-3.539080281373718773e+00,-1.830109949592643726e-01,-6.437614641132933802e-01,9.581976312239916249e-02
5.599997630926330849e+00,1.600000000000000089e+00,-7.929453710564453139e+00,-1.183307846689884002e+01,-3.754657798486976894e+00,-2.639557565928643545e-01,-8.514127802610618190e-01,8.570532675205258522e-02
