time,x_des,y_des,z_des,vx_des,vy_des,vz_des
8.630900000000000460e+00,5.473189606458562784e-01,1.833243058880647536e-01,5.023218821592947275e-02,-2.097613721044571111e-01,-9.892420884381922241e-02,-1.661897744350419176e-02
8.731249999999999289e+00,5.260599046519282007e-01,1.732761089346849248e-01,4.788886083322113629e-02,-2.112839406458742741e-01,-9.889507133010674855e-02,-2.808883272839594186e-02
8.831680000000000419e+00,5.049104495189036257e-01,1.634742750713212567e-01,4.459425107946802386e-02,-2.060678331358220261e-01,-9.432723438134713034e-02,-3.443654004062227103e-02
8.931989999999998986e+00,4.846983607137889671e-01,1.543429256714062558e-01,4.097682394569351211e-02,-1.921252651874943707e-01,-8.634890793799020192e-02,-3.422550869879762564e-02
9.032329999999999970e+00,4.663474313284736161e-01,1.461424863329329471e-01,3.772457200191189214e-02,-1.685782040578731322e-01,-7.650895202766677672e-02,-2.752759840990014542e-02
9.132789999999999964e+00,4.508616638938803822e-01,1.389861941874218354e-01,3.545153669529533397e-02,-1.350867369986955280e-01,-6.623293961103819683e-02,-1.569922485099827306e-02
9.233079999999999288e+00,4.392330781428957498e-01,1.328483365367906233e-01,3.457345341834673624e-02,-9.285058793165110180e-02,-5.708396030297099855e-02,-1.138559723234772994e-03
9.333389999999999631e+00,4.322248703003564452e-01,1.275284101349340726e-01,3.522300715091112450e-02,-4.402391266551797244e-02,-5.040012492388595139e-02,1.335719400473994734e-02
9.433759999999999479e+00,4.303966820381070479e-01,1.227321192223055912e-01,3.725448402030952927e-02,9.010707269052951537e-03,-4.689338945413835946e-02,2.519650099303838084e-02
9.534110000000000085e+00,4.340334823430569422e-01,1.181160581011393845e-01,4.028040095688190103e-02,6.348145531958195031e-02,-4.682137971003219601e-02,3.242849501463793832e-02
9.634459999999998914e+00,4.431385591350884279e-01,1.133342208475293794e-01,4.376346992550712856e-02,1.167118297677804256e-01,-4.992733548617011435e-02,3.406928305370947319e-02
9.734819999999999141e+00,4.574596590615692682e-01,1.080947381842927435e-01,4.711872271978466420e-02,1.663282185131476631e-01,-5.547635253211978534e-02,3.013813495908873943e-02
9.835189999999998989e+00,4.765236431314322507e-01,1.021991127723521076e-01,4.981273911203899785e-02,2.103154213088000990e-01,-6.241834780485196882e-02,2.153937917719226172e-02
9.935539999999999594e+00,4.996737708273711331e-01,9.556624600776368605e-02,5.144206598341025810e-02,2.471989834027616129e-01,-6.960059745025112821e-02,9.805400750564564200e-03
1.003590999999999944e+01,5.261409534019660938e-01,8.822901309327285668e-02,5.178086052043089083e-02,2.758766497565535714e-01,-7.590272013388385530e-02,-3.242814464197374229e-03
1.013626000000000005e+01,5.550472078008720223e-01,8.033119623765877515e-02,5.079117442550404316e-02,2.956286774943908680e-01,-8.040500279424761532e-02,-1.582800875229706944e-02
1.023660999999999888e+01,5.854789798541529811e-01,7.209027370191678497e-02,4.860389267688645237e-02,3.061704462518475833e-01,-8.252340513611233774e-02,-2.647972893157536992e-02
1.033698000000000050e+01,6.165011580486949860e-01,6.376725515320806614e-02,4.547621354584320541e-02,3.073281353763514523e-01,-8.198351483112915894e-02,-3.419254315197585437e-02
1.043733999999999895e+01,6.471652992634370216e-01,5.563469837369072052e-02,4.174083038125384754e-02,2.992372715963326213e-01,-7.887772749521515525e-02,-3.850656014410575034e-02
1.053770999999999880e+01,6.765634946526948301e-01,4.793506755805072156e-02,3.774724995618257417e-02,2.822629004849054879e-01,-7.359773924687111613e-02,-3.947513074256044779e-02
1.063805999999999941e+01,7.038205723492563237e-01,4.086229998776332029e-02,3.381745714135552666e-02,2.570033452267853624e-01,-6.675337033724437763e-02,-3.757100481152896021e-02
1.073842999999999925e+01,7.281487178002592486e-01,3.453645789536267247e-02,3.020606925532162354e-02,2.242650885965417340e-01,-5.906963413469280832e-02,-3.353697540611939171e-02
1.083879999999999910e+01,7.488346348286858412e-01,2.900595525655263671e-02,2.708597915809251439e-02,1.849861536821493790e-01,-5.126896934737461275e-02,-2.822052694036623205e-02
1.093914000000000009e+01,7.652787870936482717e-01,2.424584777899940063e-02,2.454169870685250082e-02,1.404475029153504084e-01,-4.404734861672767593e-02,-2.246545986471564296e-02
1.103950000000000031e+01,7.770249907635994324e-01,2.016485513216543027e-02,2.257675473842053401e-02,9.204447253570736953e-02,-3.795251354233310920e-02,-1.696918526227558441e-02
1.113983999999999952e+01,7.837537787365176367e-01,1.662809137055802980e-02,2.113567608246054441e-02,4.128622022536803521e-02,-3.335914222063551815e-02,-1.221860452581383268e-02
1.124018000000000050e+01,7.853118824434168754e-01,1.346907148800968908e-02,2.012425965334778064e-02,-1.021373146155422039e-02,-3.048502423372379325e-02,-8.474369034841536599e-03
1.134058999999999884e+01,7.817036979636442506e-01,1.050919522791103448e-02,1.943471683108831741e-02,-6.085132831884949856e-02,-2.935117324401856700e-02,-5.763272141188016846e-03
