time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.148,-0.114663,-0.471664,-0.100381,0.473271,-0.00832675,0.167968,1.05656e-17
0.149,-0.114663,-0.471664,-0.100381,0.473271,-0.00832675,0.167968,1.05656e-17
0.15,-0.114478,-0.470501,-0.100232,0.471757,-0.00831856,0.167355,-6.42497e-18
0.15,-0.114478,-0.470501,-0.100232,0.471757,-0.00831856,0.167355,-6.42497e-18
0.152,-0.114295,-0.469357,-0.100085,0.470266,-0.00831046,0.166751,-3.54343e-18
0.153,-0.114295,-0.469357,-0.100085,0.470266,-0.00831046,0.166751,-3.54343e-18
0.154,-0.114116,-0.468234,-0.0999409,0.468802,-0.00830255,0.166157,-5.81024e-18
0.155,-0.114116,-0.468234,-0.0999409,0.468802,-0.00830255,0.166157,-5.81024e-18
0.156,-0.113939,-0.467125,-0.0997976,0.467355,-0.00829464,0.165571,8.96965e-18
0.157,-0.113939,-0.467125,-0.0997976,0.467355,-0.00829464,0.165571,8.96965e-18
0.158,-0.113766,-0.466043,-0.0996588,0.46594,-0.00828704,0.164997,1.65089e-18
0.159,-0.113766,-0.466043,-0.0996588,0.46594,-0.00828704,0.164997,1.65089e-18
0.16,-0.113595,-0.464973,-0.0995201,0.46454,-0.00827938,0.164429,-1.57437e-17
0.161,-0.113428,-0.463928,-0.0993858,0.463172,-0.00827202,0.163873,-4.15754e-18
0.162,-0.113428,-0.463928,-0.0993858,0.463172,-0.00827202,0.163873,-4.15754e-18
0.163,-0.113265,-0.462909,-0.099254,0.461835,-0.00826478,0.163331,-9.51171e-18
0.164,-0.113265,-0.462909,-0.099254,0.461835,-0.00826478,0.163331,-9.51171e-18
0.165,-0.113105,-0.46191,-0.0991252,0.460524,-0.00825772,0.162798,-9.52772e-18
0.166,-0.113105,-0.46191,-0.0991252,0.460524,-0.00825772,0.162798,-9.52772e-18
0.167,-0.112949,-0.460931,-0.0989991,0.459237,-0.00825082,0.162275,-7.08987e-18
0.168,-0.112949,-0.460931,-0.0989991,0.459237,-0.00825082,0.162275,-7.08987e-18
0.169,-0.112949,-0.460931,-0.0989991,0.459237,-0.00825082,0.162275,-7.08987e-18
0.17,-0.112799,-0.459982,-0.098879,0.457988,-0.00824437,0.161767,2.22198e-18
0.171,-0.112739,-0.459553,-0.0988325,0.457423,-0.00824229,0.161537,1.18421e-17
0.172,-0.112739,-0.459553,-0.0988325,0.457423,-0.00824229,0.161537,1.18421e-17
0.173,-0.112497,-0.458095,-0.0986355,0.455504,-0.00823106,0.160756,-6.07973e-18
0.174,-0.112497,-0.458095,-0.0986355,0.455504,-0.00823106,0.160756,-6.07973e-18
0.175,-0.11235,-0.457177,-0.0985162,0.454292,-0.00822451,0.160263,-1.06264e-17
0.176,-0.11235,-0.457177,-0.0985162,0.454292,-0.00822451,0.160263,-1.06264e-17
0.177,-0.112297,-0.456792,-0.0984759,0.453781,-0.00822279,0.160054,-1.14615e-17
0.178,-0.112297,-0.456792,-0.0984759,0.453781,-0.00822279,0.160054,-1.14615e-17
0.179,-0.112076,-0.45596,-0.0982785,0.452695,-0.00820737,0.159613,1.49739e-17
0.18,-0.112076,-0.45596,-0.0982785,0.452695,-0.00820737,0.159613,1.49739e-17
0.181,-0.111763,-0.454659,-0.0980041,0.45099,-0.0081869,0.15892,-5.00513e-18
0.182,-0.111763,-0.454659,-0.0980041,0.45099,-0.0081869,0.15892,-5.00513e-18
0.183,-0.111635,-0.454339,-0.0978837,0.450578,-0.00817624,0.158754,-3.89783e-18
0.184,-0.111635,-0.454339,-0.0978837,0.450578,-0.00817624,0.158754,-3.89783e-18
0.185,-0.111332,-0.453093,-0.0976176,0.448941,-0.00815631,0.158087,3.44637e-18
0.186,-0.111332,-0.453093,-0.0976176,0.448941,-0.00815631,0.158087,3.44637e-18
0.187,-0.111332,-0.453093,-0.0976176,0.448941,-0.00815631,0.158087,3.44637e-18
0.188,-0.111119,-0.452339,-0.0974258,0.447953,-0.00814098,0.157685,-1.42281e-17
0.189,-0.11091,-0.451587,-0.0972384,0.446966,-0.00812611,0.157284,-5.2035e-18
0.19,-0.11091,-0.451587,-0.0972384,0.446966,-0.00812611,0.157284,-5.2035e-18
0.191,-0.11091,-0.451587,-0.0972384,0.446966,-0.00812611,0.157284,-5.2035e-18
0.192,-0.110703,-0.450865,-0.0970519,0.446018,-0.00811115,0.156898,1.38621e-17
0.193,-0.110703,-0.450865,-0.0970519,0.446018,-0.00811115,0.156898,1.38621e-17
0.194,-0.110498,-0.450145,-0.0968681,0.445071,-0.00809646,0.156512,2.98157e-18
0.195,-0.110498,-0.450145,-0.0968681,0.445071,-0.00809646,0.156512,2.98157e-18
0.196,-0.110296,-0.449441,-0.0966856,0.444144,-0.00808182,0.156135,1.43028e-17
0.197,-0.110296,-0.449441,-0.0966856,0.444144,-0.00808182,0.156135,1.43028e-17
0.198,-0.110092,-0.448769,-0.0965003,0.443261,-0.00806665,0.155775,8.92652e-18
0.199,-0.110092,-0.448769,-0.0965003,0.443261,-0.00806665,0.155775,8.92652e-18
0.2,-0.109896,-0.448087,-0.0963236,0.442362,-0.00805248,0.155408,9.22883e-18
0.201,-0.109703,-0.447414,-0.0961502,0.441472,-0.0080386,0.155045,2.84549e-18
0.202,-0.109703,-0.447414,-0.0961502,0.441472,-0.0080386,0.155045,2.84549e-18
0.203,-0.109703,-0.447414,-0.0961502,0.441472,-0.0080386,0.155045,2.84549e-18
0.204,-0.109577,-0.447219,-0.0960281,0.441221,-0.00802695,0.154944,1.35478e-18
0.205,-0.109319,-0.44615,-0.0958014,0.4398,-0.00801012,0.154362,-1.38481e-17
0.206,-0.109319,-0.44615,-0.0958014,0.4398,-0.00801012,0.154362,-1.38481e-17
0.207,-0.109132,-0.44553,-0.0956317,0.438977,-0.00799629,0.154026,-3.48495e-18
0.208,-0.109132,-0.44553,-0.0956317,0.438977,-0.00799629,0.154026,-3.48495e-18
0.209,-0.109132,-0.44553,-0.0956317,0.438977,-0.00799629,0.154026,-3.48495e-18
0.21,-0.108944,-0.444942,-0.0954603,0.438198,-0.00798209,0.153708,3.66066e-18
0.211,-0.108763,-0.444339,-0.095296,0.437396,-0.00796874,0.15338,-1.18637e-17
0.212,-0.108763,-0.444339,-0.095296,0.437396,-0.00796874,0.15338,-1.18637e-17
0.213,-0.108583,-0.443765,-0.0951317,0.436632,-0.0079552,0.153067,8.12861e-18
0.214,-0.108583,-0.443765,-0.0951317,0.436632,-0.0079552,0.153067,8.12861e-18
0.215,-0.108403,-0.443215,-0.0949665,0.435899,-0.00794141,0.152766,-3.39939e-18
0.216,-0.108403,-0.443215,-0.0949665,0.435899,-0.00794141,0.152766,-3.39939e-18
0.217,-0.108227,-0.442663,-0.0948067,0.435162,-0.00792821,0.152465,-4.48888e-18
0.218,-0.108227,-0.442663,-0.0948067,0.435162,-0.00792821,0.152465,-4.48888e-18
0.219,-0.108053,-0.44213,-0.0946472,0.434449,-0.00791492,0.152172,4.00266e-18
0.22,-0.108053,-0.44213,-0.0946472,0.434449,-0.00791492,0.152172,4.00266e-18
0.221,-0.108053,-0.44213,-0.0946472,0.434449,-0.00791492,0.152172,4.00266e-18
0.222,-0.107877,-0.441626,-0.0944846,0.433775,-0.00790112,0.151896,-3.79624e-18
0.223,-0.107877,-0.441626,-0.0944846,0.433775,-0.00790112,0.151896,-3.79624e-18
